Date,Bitcoin,ISG,IFG,DFG,DSG,UFE,SP500,NASDAQ,SH300,N225,FTSE,GDAXI,FCHI,HSI,USDX,UYE,EUE,UJE,GUE,UDE,CNH
2017/10/27,3.929203437,2.300703132,2.332921877,2.123334242,2.304600267,2.039686249,2.027852292,2.651752861,2.249511342,2.352919716,1.692719769,1.691209642,2.202580215,2.032170346,1.890460832,1.051779386,2.092264865,2.092156324,2.107314887,2.274962689,1.149525782
2017/10/30,3.484996421,2.24741905,2.207637053,1.571494673,1.743402177,1.916135487,1.658814349,2.152294853,3.043869997,2.156519423,1.47775123,1.2632534,1.442788216,2.539656263,1.795557043,0.323276186,1.843480552,2.09135489,2.081851985,1.47745376,0.883298534
2017/10/31,4.205378527,2.325307947,2.275550998,1.430183747,1.520356523,1.789690631,1.006815172,1.697060416,2.011674685,2.244742326,1.615833409,2.091956596,1.516861298,1.93384294,1.120280347,1.108272743,1.266739518,2.060377641,2.12936006,2.082917351,1.090958607
2017/11/1,4.219992987,2.505764164,2.490085803,1.482713038,1.95927484,2.02459828,1.790701698,2.454168074,2.465520649,2.820231027,1.914910535,2.533969018,1.524610564,2.413492951,1.44812924,1.831350956,1.596189548,1.90206475,1.933695438,1.607447201,1.785465495
2017/11/2,4.594848411,2.334630295,2.298367849,1.616336177,1.689589543,2.29049362,1.896648672,1.98362578,2.08215267,1.969096538,2.543701706,1.546606972,1.975525669,1.805437135,1.649441764,1.678659701,2.00015323,1.924963247,3.101240229,1.902967412,1.59348379
2017/11/3,4.28736135,2.646770061,2.623981503,1.694370939,1.591767842,2.113110884,1.644438092,2.185287233,2.348473872,2.187774586,1.779453581,1.852323765,1.593859868,1.560459991,2.004306361,1.597244368,2.182948546,2.054220615,2.077283713,2.377855607,1.734821541
2017/11/6,4.243740047,2.770426337,2.757077681,2.048745695,1.727233028,1.842525547,1.230267498,1.538589579,2.585668191,2.366599884,1.472143875,1.216167225,1.448638568,3.032079242,1.483329322,0.219285727,1.424418137,2.292293146,2.326234509,1.826620252,1.323067821
2017/11/7,3.611584944,2.268734216,2.244361629,2.046009445,1.945616074,1.664383072,1.725241591,2.035427256,2.498795685,3.101524764,2.434757752,2.58712294,2.337645477,2.486780628,1.69830431,0.848595455,1.815350537,1.839327132,1.796106385,2.345049994,1.407447231
2017/11/8,4.626882513,2.43201119,2.374339515,1.570583426,1.997504444,1.094037113,1.532775792,1.870768992,2.618532334,2.107593614,1.51222951,1.856928591,2.219353728,2.244312097,0.839330704,0.905487126,1.15308749,1.85792316,2.051551197,1.751514158,1.146611758
2017/11/9,3.998224918,2.11792455,2.08439487,1.522041171,1.377707718,2.402700257,2.195727485,2.504177441,2.380456014,3.7607567,2.135374337,2.975240884,2.804223643,2.216725696,1.892681245,1.210945541,1.947837132,2.292976265,1.945359658,1.872676815,1.576823187
2017/11/10,4.985840774,2.485311691,2.536742061,1.30285595,1.818121244,1.62484519,1.299256881,1.630715426,2.62184466,2.377932888,2.492106033,2.217424212,2.160065615,2.071207893,1.571459505,0.633493146,1.67160458,1.435084775,2.304808,0.999017961,1.37424298
2017/11/13,5.169027537,1.646348092,1.598043528,2.025276622,2.345732041,1.771025078,1.768423584,1.987319096,1.815816236,2.44930617,2.326525439,2.882848803,2.88989545,2.064853475,1.07595651,0.918171656,1.345623538,1.548359149,2.342803164,1.754421035,0.837691313
2017/11/14,3.963499149,2.532791982,2.539792098,1.360759655,1.872797923,2.331360044,1.76542403,1.768772679,2.567258925,2.370253533,1.814277972,2.502973897,2.623885815,1.935423918,2.276205377,0.721585089,2.645345391,1.802085372,2.281377857,1.883915215,1.302459705
2017/11/15,4.756236777,2.499256252,2.491227909,2.131327526,1.868895458,2.021955123,1.929630864,2.296989212,2.584089122,2.745157719,2.199293715,2.577837188,2.282582766,2.311835754,1.813551037,1.482096686,1.972031079,2.318387411,1.95439775,1.909767008,1.241992821
2017/11/16,4.787425434,1.889035022,1.823878579,1.99957397,2.117066289,1.971114668,2.030965137,2.388792222,2.54489592,3.078417613,1.363516254,1.727539205,1.941678103,2.154350872,1.015499103,0.616013701,1.455797435,1.798857486,1.85033152,1.599297107,0.558049123
2017/11/17,4.180972112,2.855772668,2.850281565,1.461200949,1.357376268,2.063892204,1.036708641,1.234435348,2.440141872,3.105600103,2.058368692,2.224560335,2.291551684,1.974640083,1.689045103,0.780077568,1.695772358,2.504658092,2.04517469,2.273120072,1.393892543
2017/11/20,4.000657352,2.92616115,2.932022246,2.850622391,2.125213583,1.905028278,1.045876043,1.016435238,3.151759516,2.306648267,1.990557329,2.64170925,2.278731382,2.112428735,1.87449105,0.643883851,2.127062655,2.126059845,2.087852608,1.794151699,1.071517367
2017/11/21,4.425222479,2.111709639,2.054274539,2.473647882,2.182403163,1.714272589,1.670842762,1.967971086,3.211795223,2.013730445,2.132015102,2.76928856,2.537187838,2.913272991,1.265300624,0.696375697,1.4595399,1.697796045,1.597848485,2.054899666,1.443720674
2017/11/22,3.459238021,2.680746442,2.658523454,1.711265023,2.028076585,2.474014882,0.925369714,0.935136117,2.937964651,2.119439891,2.054210663,2.774724964,2.100893838,2.400001872,2.279391042,1.277533647,2.225446503,2.625218195,2.305864928,2.136399102,1.859399831
2017/11/23,3.471699052,1.79593729,1.782103306,1.50477451,1.886736785,1.380680322,0.740481454,0.967597534,3.561213378,2.187914584,2.037071446,2.42561255,2.578940543,3.097158121,1.11222288,1.510090118,1.404618847,1.130197783,1.500579153,1.547646789,1.370443865
2017/11/24,4.110485532,2.0006386,1.972401876,1.359687554,1.522948696,1.568453016,0.513889686,0.99897088,2.809433059,2.252334543,1.709201225,2.755637594,2.269334326,2.14732373,1.963038547,1.787496425,2.344281214,1.51148386,1.943148033,1.5836563,1.811053183
